"","Creek","Date","WY","ppt","t_max","t_min","t_avg","vpd_min","vpd_max"
"56","EF NF American",2004-08-01,2004,0,27.5450001,16.0380001,21.7910004,10.8570004,29.9029999
"57","EF NF American",2004-09-01,2004,10.7550001,24.4279995,12.4370003,18.4320011,9.2749996,26.1350002
"58","EF NF American",2004-10-01,2005,211.1170044,15.8339996,6.7360005,11.2850008,4.4489999,13.9460001
"59","EF NF American",2004-11-01,2005,107.7839966,10.2309999,1.299,5.7640004,1.934,8.4820004
"60","EF NF American",2004-12-01,2005,295.7919922,9.0109997,1.455,5.2320004,2.9590001,8.4879999
"61","EF NF American",2005-01-01,2005,291.4930115,7.2859998,0.36,3.8220003,2.1600001,6.9899998
"62","EF NF American",2005-02-01,2005,143.548996,9.3199997,1.274,5.2960005,1.351,6.8130002
"63","EF NF American",2005-03-01,2005,346.8599854,11.0819998,1.9750001,6.5280004,2.329,9.2860003
"64","EF NF American",2005-04-01,2005,123.7890015,11.8050003,1.222,6.5130005,1.155,8.9029999
"65","EF NF American",2005-05-01,2005,284.5629883,15.9300003,6.3140001,11.1220007,2.3570001,11.4540005
"66","EF NF American",2005-06-01,2005,94.1200027,19.3390007,8.5390005,13.9390011,3.5209999,14.6169996
"67","EF NF American",2005-07-01,2005,0,29.1089993,18.257,23.6820011,10.1000004,29.2630005
"68","EF NF American",2005-08-01,2005,0,28.3069992,17.1560001,22.7310009,12.059,30.3419991
"69","EF NF American",2005-09-01,2005,12.7390003,22.4939995,10.8430004,16.6680012,6.8249998,21.1580009
"70","EF NF American",2005-10-01,2006,57.1030006,17.816,7.4400005,12.6280003,3.8829999,14.7469997
"71","EF NF American",2005-11-01,2006,162.5469971,13.0459995,5.1470003,9.0960007,3.45,10.9309998
"72","EF NF American",2005-12-01,2006,810.335022,9.2419996,1.8100001,5.5250001,1.227,6.3559999
"73","EF NF American",2006-01-01,2006,365.618988,6.8150001,-0.726,3.0440001,0.866,5.5180001
"74","EF NF American",2006-02-01,2006,232.6840057,11.1070004,1.353,6.2300005,3.1270001,10.4130001
"75","EF NF American",2006-03-01,2006,462.875,4.0700002,-2.9210002,0.574,0.255,4.0170002
"76","EF NF American",2006-04-01,2006,453.9379883,10.7370005,2.013,6.3750005,0.937,7.0970001
"77","EF NF American",2006-05-01,2006,50.3829994,19.6669998,8.9350004,14.3010006,4.2919998,16.6539993
"78","EF NF American",2006-06-01,2006,0.643,25.5319996,14.1730003,19.8520012,7.8410001,24.8540001
"79","EF NF American",2006-07-01,2006,0.31,29.7539997,18.4720001,24.1120014,12.9790001,33.2789993
"80","EF NF American",2006-08-01,2006,0,26.9029999,15.5080004,21.2050018,10.5170002,27.9549999
"81","EF NF American",2006-09-01,2006,0,25.2730007,13.4110003,19.342001,10.5810003,27.2099991
"82","EF NF American",2006-10-01,2007,20.9580002,18.1229992,7.6810002,12.901001,5.0669999,15.6899996
"83","EF NF American",2006-11-01,2007,199.4960022,10.7950001,3.2040002,6.9990005,1.5700001,7.7979999
"84","EF NF American",2006-12-01,2007,248.5899963,9.3710003,1.2690001,5.3200002,2.697,8.5679998
"85","EF NF American",2007-01-01,2007,69.6800003,9.7440004,-0.384,4.6800003,3.2149999,10.1569996
"86","EF NF American",2007-02-01,2007,446.1390076,8.6669998,0.8100001,4.7380004,1.7079999,6.98
"87","EF NF American",2007-03-01,2007,46.7939987,14.8940001,3.9800003,9.4370003,3.017,13.0139999
"88","EF NF American",2007-04-01,2007,126.4530029,14.3789997,3.6340001,9.0060005,2.5999999,11.7410002
"89","EF NF American",2007-05-01,2007,50.5320015,20.7479992,9.1820002,14.9640007,5.927,19.5799999
"90","EF NF American",2007-06-01,2007,22.4209995,24.1189995,12.4460011,18.2820015,7.3940001,23.0149994
"91","EF NF American",2007-07-01,2007,0,28.0370007,16.7750015,22.4060001,10.3859997,29.2010002
"92","EF NF American",2007-08-01,2007,0,28.1779995,16.6520004,22.4140015,11.9420004,31.2119999
"93","EF NF American",2007-09-01,2007,37.7560005,22.5790005,10.9650002,16.7720013,6.4180002,21.993
"94","EF NF American",2007-10-01,2008,138.026001,15.8859997,6.3310003,11.1080008,3.2939999,12.3199997
"95","EF NF American",2007-11-01,2008,51.3230019,15.0019999,6.5050001,10.7530003,4.5489998,13.5679998
"96","EF NF American",2007-12-01,2008,278.2059937,6.2589998,-1.6160001,2.3210001,1.068,5.54
"97","EF NF American",2008-01-01,2008,364.8850098,5.5689998,-1.3430001,2.112,1.7640001,6.4109998
"98","EF NF American",2008-02-01,2008,249.6869965,9.1689997,0.172,4.6700001,2.1159999,8.3950005
"99","EF NF American",2008-03-01,2008,75.7180023,11.5270004,1.4250001,6.4760003,1.813,9.7460003
"100","EF NF American",2008-04-01,2008,22.2490005,13.3450003,2.0550001,7.7000003,2.8499999,11.9460001
"101","EF NF American",2008-05-01,2008,35.8979988,18.5750008,7.7190003,13.1470003,4.4809999,16.5259991
"102","EF NF American",2008-06-01,2008,0,24.8250008,12.3590002,18.592001,8.7139997,26.0750008
"103","EF NF American",2008-07-01,2008,0,29.1089993,17.7010002,23.4040012,12.1379995,32.737999
"104","EF NF American",2008-08-01,2008,0,29.4279995,17.5,23.4630013,12.6759996,33.9799995
"105","EF NF American",2008-09-01,2008,0,26.7229996,14.7060003,20.7140007,12.3940001,30.2600002
"106","EF NF American",2008-10-01,2009,60.9459991,19.8719997,9.776,14.8230009,7.8990002,19.3710003
"107","EF NF American",2008-11-01,2009,183.5269928,14.5719995,6.5210004,10.5460005,3.882,11.3629999
"108","EF NF American",2008-12-01,2009,237.8890076,8.151,0.215,4.1830001,2.5020001,8.1599998
"109","EF NF American",2009-01-01,2009,131.4199982,12.6330004,3.2,7.9160004,4.1869998,11.7779999
"110","EF NF American",2009-02-01,2009,383.2999878,7.3169999,0.002,3.6590002,1.753,6.5219998
"111","EF NF American",2009-03-01,2009,256.0249939,9.9259996,0.316,5.1200004,1.531,8.1639996
"112","EF NF American",2009-04-01,2009,69.8030014,13.6269999,2.7130001,8.1690006,3.086,11.8450003
"113","EF NF American",2009-05-01,2009,204.4089966,20.7859993,10.6020002,15.6930008,6.1279998,18.6860008
"114","EF NF American",2009-06-01,2009,14.835,21.5919991,11.2550001,16.4230003,5.6630001,18.5389996
"115","EF NF American",2009-07-01,2009,0.003,28.8780003,17.9860001,23.4320011,13.7910004,32.7519989
"116","EF NF American",2009-08-01,2009,2.8210001,27.3500004,16.3710003,21.8600006,11.5600004,29.3759995
"117","EF NF American",2009-09-01,2009,2.2820001,27.3269997,15.4800005,21.4030018,11.1459999,30.5930004
"118","EF NF American",2009-10-01,2010,129.6049957,16.2749996,6.6420002,11.4580002,3.5420001,12.8100004
"119","EF NF American",2009-11-01,2010,65.9329987,13.4589996,4.7090001,9.0830002,3.4549999,11.7469997
"120","EF NF American",2009-12-01,2010,251.9369965,7.1020002,-0.185,3.4580002,1.832,6.3280001
"121","EF NF American",2010-01-01,2010,318.3569946,7.7049999,1.2080001,4.4560003,1.531,5.6170001
"122","EF NF American",2010-02-01,2010,198.5980072,7.9380002,0.74,4.3390002,0.789,7.0510001
"123","EF NF American",2010-03-01,2010,204.8999939,9.651,0.449,5.0500002,1.926,10.5310001
"124","EF NF American",2010-04-01,2010,268.1199951,9.5039997,0.588,5.0450001,1.044,7.7979999
"125","EF NF American",2010-05-01,2010,159.8789978,13.5769997,3.223,8.3990002,2.355,10.5900002
"126","EF NF American",2010-06-01,2010,10.2019997,21.9230003,11.0480003,16.4850006,4.9239998,18.6469994
"127","EF NF American",2010-07-01,2010,0,27.9960003,17.1010017,22.5480003,10.2139997,28.3339996
"128","EF NF American",2010-08-01,2010,2.7360001,25.9640007,15.0340004,20.4990005,9.9560003,26.8869991
"129","EF NF American",2010-09-01,2010,1.689,24.7110004,13.3830004,19.0470009,9.2530003,25.3589993
"130","EF NF American",2010-10-01,2011,278.9400024,17.7399998,8.9400005,13.3400011,4.303,14.0839996
"131","EF NF American",2010-11-01,2011,301.4169922,10.9619999,2.4410002,6.7010002,2.592,9.2139997
"132","EF NF American",2010-12-01,2011,569.3720093,7.2129998,0.586,3.8990002,0.674,4.829
"133","EF NF American",2011-01-01,2011,78.651001,11.5600004,2.4770002,7.0180001,2.987,10.4639997
"134","EF NF American",2011-02-01,2011,258.4500122,6.8590002,-1.973,2.4430001,1.886,6.8109999
"135","EF NF American",2011-03-01,2011,611.132019,5.7020001,-0.7,2.5010002,0.499,4.2509999
"136","EF NF American",2011-04-01,2011,125.3769989,11.0509996,1.355,6.2020001,1.002,8.1709995
"137","EF NF American",2011-05-01,2011,125.8460007,13.8170004,3.5160003,8.6660004,2.2880001,10.8269997
"138","EF NF American",2011-06-01,2011,107.2799988,20.0249996,9.7930002,14.9080009,4.191,16.0869999
"139","EF NF American",2011-07-01,2011,0,25.6550007,15.0380011,20.3460007,7.2340002,23.3449993
"140","EF NF American",2011-08-01,2011,0,27.2390003,16.6870003,21.9630013,10.2200003,28.1900005
"141","EF NF American",2011-09-01,2011,7.7379999,26.7250004,15.7480011,21.2360001,9.908,28.0960007
"142","EF NF American",2011-10-01,2012,135.548996,18.3969994,9.1700001,13.7830009,4.2420001,14.7919998
"143","EF NF American",2011-11-01,2012,90.9660034,10.4370003,2.49,6.4630003,1.9630001,8.3699999
"144","EF NF American",2011-12-01,2012,7.8899999,11.2159996,1.58,6.3970003,3.654,10.5679998
"145","EF NF American",2012-01-01,2012,239.9909973,11.3739996,2.786,7.0790005,3.7349999,10.5150003
"146","EF NF American",2012-02-01,2012,73.0630035,9.8439999,0.381,5.1120005,1.773,8.4309998
"147","EF NF American",2012-03-01,2012,536.9730225,7.9039998,-0.004,3.9490001,0.969,5.763
"148","EF NF American",2012-04-01,2012,261.3320007,13.4829998,3.3850002,8.434,2.108,10.4969997
"149","EF NF American",2012-05-01,2012,19.3922997,19.6259995,8.1400003,13.8820009,4.9590001,18.0419998
"150","EF NF American",2012-06-01,2012,44.3370018,22.8579998,10.9910002,16.9240017,6.73,21.6459999
"151","EF NF American",2012-07-01,2012,6.783,27.0529995,15.8100004,21.4310017,9.6210003,27.5890007
"152","EF NF American",2012-08-01,2012,1.225,29.9109993,18.6100006,24.2600002,14.757,35.3619995
"153","EF NF American",2012-09-01,2012,0.842,27.1700001,16.0380001,21.6040001,12.0439997,29.0849991
"154","EF NF American",2012-10-01,2013,121.4440002,19.1359997,9.335,14.2350006,5.8309999,17.3470001
"155","EF NF American",2012-11-01,2013,343.5390015,12.5380001,4.914,8.7260008,3.2290001,10.0299997
"156","EF NF American",2012-12-01,2013,586.5682983,5.8070002,-0.574,2.6160002,1.01,4.6570001
"157","EF NF American",2013-01-01,2013,44.1549988,10.5539999,0.059,5.3060002,2.7739999,9.6639996
"158","EF NF American",2013-02-01,2013,27.7439995,10.2709999,0.127,5.1980004,2.4920001,9.566
"159","EF NF American",2013-03-01,2013,133.1490021,13.335,3.5710001,8.4530001,2.437,10.7519999
"160","EF NF American",2013-04-01,2013,55.6360016,15.9239998,5.3420005,10.6330004,3.8269999,13.6809998
"161","EF NF American",2013-05-01,2013,49.8959999,18.7099991,8.1040001,13.4060011,4.3169999,15.6020002
"162","EF NF American",2013-06-01,2013,75.1309967,24.3600006,12.7600002,18.5600014,6.414,22.9130001
"163","EF NF American",2013-07-01,2013,0,29.1359997,18.6290016,23.8820019,12.2919998,30.6240005
"164","EF NF American",2013-08-01,2013,1.484,26.3040009,15.8210011,21.0620003,10.033,26.7880001
"165","EF NF American",2013-09-01,2013,64.7249985,22.5849991,12.1090002,17.3460007,6.0770001,20.2849998
"166","EF NF American",2013-10-01,2014,32.2120018,17.7929993,8.1420002,12.967001,6.447,16.2929993
"167","EF NF American",2013-11-01,2014,55.348999,13.9460001,5.7420001,9.8440008,4.3499999,11.5579996
"168","EF NF American",2013-12-01,2014,48.8240013,11.3660002,2.0050001,6.6850004,4.5,11.1829996
"169","EF NF American",2014-01-01,2014,58.3219986,14.5120001,5.7620001,10.1370001,5.5939999,13.0200005
"170","EF NF American",2014-02-01,2014,410.0150146,9.3409996,2.0880001,5.7140002,1.3890001,7.1609998
"171","EF NF American",2014-03-01,2014,292.8070068,11.802,3.3910003,7.5960002,2.6919999,9.3769999
"172","EF NF American",2014-04-01,2014,119.2919998,14.6689997,4.7840004,9.7260008,3.1570001,12.3369999
"173","EF NF American",2014-05-01,2014,36.1930008,19.4890003,8.7250004,14.1070004,5.6479998,17.9109993
"174","EF NF American",2014-06-01,2014,0,24.5370007,13.3290005,18.9330006,9.3669996,25.0489998
"175","EF NF American",2014-07-01,2014,1.7130001,29.1410007,18.5970001,23.8690014,12.1730003,31.0990009
"176","EF NF American",2014-08-01,2014,16.8619995,26.4179993,16.6660004,21.5410004,9.967,26.4150009
"177","EF NF American",2014-09-01,2014,39.2830009,24.5629997,14.1610003,19.3610001,8.4879999,24.3810005
"178","EF NF American",2014-10-01,2015,66.9909973,19.9909992,10.4560003,15.2230005,6.625,18.4680004
"179","EF NF American",2014-11-01,2015,175.2019958,13.3940001,5.3490005,9.3710003,3.803,10.6929998
"180","EF NF American",2014-12-01,2015,430.2709961,7.2820001,1.6840001,4.4830003,1.145,4.8340001
"181","EF NF American",2015-01-01,2015,2.664,13.4359999,4.8600001,9.1480007,4.152,11.3789997
"182","EF NF American",2015-02-01,2015,219.0189972,14.5360003,5.7970004,10.1660004,3.9590001,12.1330004
"183","EF NF American",2015-03-01,2015,35.9980011,15.7279997,6.1140003,10.9210005,4.1020002,13.3389997
"184","EF NF American",2015-04-01,2015,103.6999969,14.9440002,4.086,9.5150003,3.4070001,12.7209997
"185","EF NF American",2015-05-01,2015,41.0800018,17.1259995,7.7550006,12.4400005,3.881,13.0760002
"186","EF NF American",2015-06-01,2015,20.9169998,26.2320004,15.2150011,20.7230015,9.7349997,26.7840004
"187","EF NF American",2015-07-01,2015,3.7820001,26.7959995,16.2470016,21.5210018,8.7889996,25.3500004
"188","EF NF American",2015-08-01,2015,2.0209999,27.4890003,16.8180008,22.1530018,10.4230003,29.1989994
"189","EF NF American",2015-09-01,2015,3.1359999,25.2819996,14.3920012,19.8370018,10.5319996,27.2119999
"190","EF NF American",2015-10-01,2016,52.6160011,20.4099998,11.2360001,15.8220005,5.8060002,17.2420006
"191","EF NF American",2015-11-01,2016,143.1119995,10.1520004,1.9950001,6.0730004,2.5120001,8.1999998
"192","EF NF American",2015-12-01,2016,399.1650085,5.0440001,-1.649,1.697,0.894,4.2329998
"193","EF NF American",2016-01-01,2016,483.7850037,6.5100002,-0.071,3.2190001,0.781,4.8769999
"194","EF NF American",2016-02-01,2016,71.4440002,13.0389996,4.0870004,8.5620003,3.9119999,11.8879995
"195","EF NF American",2016-03-01,2016,514.5130005,10.3769999,2.562,6.4690003,1.543,7.2709999
"196","EF NF American",2016-04-01,2016,102.7320023,15.3030005,5.3260002,10.3140001,2.6730001,11.8409996
"197","EF NF American",2016-05-01,2016,84.9769974,17.2609997,7.1750002,12.217001,3.309,12.7270002
"198","EF NF American",2016-06-01,2016,5.9510002,24.7189999,13.434001,19.0760002,8.5749998,24.8029995
"199","EF NF American",2016-07-01,2016,0,27.6159992,16.4740009,22.045002,12.1059999,30.0119991
"200","EF NF American",2016-08-01,2016,0,28.5330009,17.7730007,23.1530018,13.2889996,32.1030006
"201","EF NF American",2016-09-01,2016,1.636,24.507,13.2580004,18.882,9.4490004,25.1079998
"202","EF NF American",2016-10-01,2017,435.6130066,15.4969997,7.2570004,11.3770008,3.322,11.5640001
"203","EF NF American",2016-11-01,2017,195.9940033,12.1370001,4.704,8.4200001,2.8099999,9.5740004
"204","EF NF American",2016-12-01,2017,381.9809875,7.9949999,0.331,4.1620002,1.908,6.6110001
"205","EF NF American",2017-01-01,2017,849.0469971,5.816,-1.5500001,2.1320002,1.016,4.7189999
"206","EF NF American",2017-02-01,2017,748.7180176,6.9260001,0.31,3.6180003,1.058,4.4850001
"207","EF NF American",2017-03-01,2017,215.5749969,10.8579998,2.5610001,6.7090001,1.824,8.2299995
"208","EF NF American",2017-04-01,2017,312.3370056,11.5319996,2.1010001,6.8160005,1.643,8.4709997
"209","EF NF American",2017-05-01,2017,17.5919991,19.8299999,8.7690001,14.2990007,4.3839998,17.2560005
"210","EF NF American",2017-06-01,2017,23.5189991,24.0200005,13.262001,18.6410007,7.0380001,22.7339993
"211","EF NF American",2017-07-01,2017,0,29.2759991,18.2600002,23.7670002,12.1440001,31.3840008
"212","EF NF American",2017-08-01,2017,0.975,29.1529999,19.0830002,24.1180019,11.6639996,30.3540001
"213","EF NF American",2017-09-01,2017,20.6389999,23.4780006,12.8570004,18.1670017,7.408,22.802
"214","EF NF American",2017-10-01,2018,24.9139996,20.1779995,9.6940002,14.9350004,7.7820001,19.3449993
"215","EF NF American",2017-11-01,2018,444.3619995,10.8920002,4.0410004,7.4660006,1.28,6.967
"216","EF NF American",2017-12-01,2018,26.8920002,12.566,3.9110003,8.2379999,4.743,12.1610003
"217","EF NF American",2018-01-01,2018,270.9370117,10.5080004,3.3870001,6.9470005,2.4790001,7.8540001
"218","EF NF American",2018-02-01,2018,44.9150009,10.1660004,0.771,5.4680004,3.2690001,9.875
"219","EF NF American",2018-03-01,2018,511.1719971,8.3100004,-0.079,4.1150002,1.199,6.5539999
"220","EF NF American",2018-04-01,2018,182.3679962,14.1719999,4.145,9.158,2.3859999,10.8900003
"221","EF NF American",2018-05-01,2018,45.1349983,18.5480003,8.3950005,13.4710007,3.0090001,13.382
"222","EF NF American",2018-06-01,2018,1.41,24.3880005,12.8760004,18.632,7.4460001,22.9260006
"223","EF NF American",2018-07-01,2018,0,29.9969997,19.3130016,24.6550007,12.3249998,32.4399986
"224","EF NF American",2018-08-01,2018,0,28.1730003,17.677,22.9250011,12.5509996,30.8610001
"225","EF NF American",2018-09-01,2018,0,25.2169991,14.1300011,19.6730003,10.5769997,26.8110008
"226","EF NF American",2018-10-01,2019,32.9609985,18.7630005,9.217,13.9900007,5.6030002,15.901
"227","EF NF American",2018-11-01,2019,263.7049866,14.8809996,6.4010005,10.6410007,5.4130001,13.2040005
"228","EF NF American",2018-12-01,2019,131.5670013,8.165,0.6760001,4.4200001,1.193,6.5279999
"229","EF NF American",2019-01-01,2019,421.3819885,9.1059999,1.411,5.2580004,1.848,6.9060001
"230","EF NF American",2019-02-01,2019,710.8569946,2.3239999,-4.1990004,-0.937,0.319,2.5810001
"231","EF NF American",2019-03-01,2019,269.3599854,7.5190001,0.059,3.7890003,1.026,5.4120002
"232","EF NF American",2019-04-01,2019,103.9280014,14.908,5.7389998,10.3233995,2.8759999,11.3629999
"233","EF NF American",2019-05-01,2019,206.1119995,15.1260004,5.3270001,10.2264996,2.3199999,10.4919996
"234","EF NF American",2019-06-01,2019,27.6140003,24.2329998,12.967,18.5998993,6.198,21.5349998
"235","EF NF American",2019-07-01,2019,0,26.5300007,16.2940006,21.4119987,8.5019999,24.3460007
"236","EF NF American",2019-08-01,2019,0,27.7810001,17.0900002,22.4354992,9.632,27.4839993
"237","EF NF American",2019-09-01,2019,92.25,22.5580006,11.7580004,17.157999,6.4369998,20.4559994
"238","EF NF American",2019-10-01,2020,5.224,17.4389992,7.2849998,12.3618994,5.993,15.7360001
"239","EF NF American",2019-11-01,2020,65.7839966,15.4989996,7.0749998,11.2868996,6.1820002,14.507
"240","EF NF American",2019-12-01,2020,347.3349915,7.1659999,0.937,4.0513997,1.184,5.0089998
"241","EF NF American",2020-01-01,2020,153.4450073,7.9460001,0.368,4.1570001,0.97,6.1869998
"242","EF NF American",2020-02-01,2020,0.92,13.2819996,2.9949999,8.1384001,3.8280001,11.7679996
"243","EF NF American",2020-03-01,2020,246.9230042,8.1809998,-0.109,4.0359001,1.0650001,6.3239999
"244","EF NF American",2020-04-01,2020,127.4380035,14.3369999,4.77,9.5534,2.286,10.4809999
"245","EF NF American",2020-05-01,2020,122.5690002,18.5739994,8.1990004,13.3863993,4.3959999,15.5209999
"246","EF NF American",2020-06-01,2020,3.355,23.5739994,11.8039999,17.6889,6.5219998,21.3439999
"247","EF NF American",2020-07-01,2020,0,28.1609993,17.2880001,22.7243996,10.6029997,28.4629993
"248","EF NF American",2020-08-01,2020,0.037,29.5750008,18.5799999,24.0774994,11.8540001,31.5650005
"249","EF NF American",2020-09-01,2020,0,27.4969997,16.375,21.9358997,11.4370003,29.8439999
"250","EF NF American",2020-10-01,2021,0,24.0610008,13.4940004,18.7775002,11.5360003,25.8349991
"251","EF NF American",2020-11-01,2021,139.7070007,13.3199997,3.938,8.6288996,4.3769999,12.5679998
"252","EF NF American",2020-12-01,2021,130.6089935,11.158,2.381,6.7694998,3.0739999,10.1850004
"253","EF NF American",2021-01-01,2021,217.2328949,8.5753002,-0.162,4.2065997,1.7836,7.8330998
"254","EF NF American",2021-02-01,2021,138.5791016,9.3008995,-0.3993,4.4506998,1.8297,7.9556999
"255","EF NF American",2021-03-01,2021,130.3052979,9.6357002,-1.0095,4.3130999,1.6747999,8.1798
"256","EF NF American",2021-04-01,2021,15.1062994,16.3508987,5.6169,10.9837999,4.2103,14.2586994
"257","EF NF American",2021-05-01,2021,8.1171999,20.2584,8.9745998,14.6163998,5.3590999,18.6234989
"258","EF NF American",2021-06-01,2021,1.2970999,26.9650993,15.5941,21.2794991,10.4296999,29.1190987
"259","EF NF American",2021-07-01,2021,0,30.6771984,19.9552002,25.3160992,14.7817993,35.864399
"260","EF NF American",2021-08-01,2021,0,29.0404987,18.2052994,23.6227989,13.3334999,33.2420006
"261","EF NF American",2021-09-01,2021,33.6212006,26.1903992,14.7465,20.468399,9.6596994,28.5580997
"262","EF NF American",2021-10-01,2022,428.0131836,15.066,6.0446,10.5551996,3.1359,11.3774996
"263","EF NF American",2021-11-01,2022,85.5924988,14.5771999,7.1369996,10.8569994,3.5328999,11.1680994
"264","EF NF American",2021-12-01,2022,543.1378784,7.4245,0.3139,3.8690999,1.8692993,6.3481998
"265","EF NF American",2022-01-01,2022,43.6175995,11.7624998,2.842,7.3021998,3.4268,10.1803999
