Site_number,Site_name,Site_type,Lat,Long,Datum
10270885,BISHOP C BL INTAKE NO 3 DIV DAM NR BISHOP CA,Stream,37.2740981,-118.5723357,NAD83
10270900,BIRCH-MCGEE C DIV TO BISHOP C PP NR BISHOP CA,Stream,37.2738205,-118.5801136,NAD83
10270940,BISHOP C BL INTAKE NO 4 DIV DAM NR BISHOP CA,Stream,37.3022222,-118.531111,NAD83
10270960,COYOTE C NR BISHOP CA,Stream,37.31187456,-118.5109472,NAD83
10270970,BISHOP C BL INTAKE NO 5 DIV DAM NR BISHOP CA,Stream,37.3240966,-118.500114,NAD83
10271060,BISHOP C PP NO 6 CONDUIT NR BISHOP CA,Stream,37.3379854,-118.4776134,NAD83
10271200,BISHOP C AB PP NO 6 NR BISHOP CA,Stream,37.34992977,-118.462613,NAD83
10271210,BISHOP C BL PP NO 6 NR BISHOP CA (ACTUAL) CA,Stream,37.34965199,-118.4623352,NAD83
10271211,BISHOP C BL PP NO 6 NR BISHOP CA (NATURAL) CA,Stream,37.34965199,-118.4623352,NAD83
10272000,BISHOP C NR BISHOP CA,Stream,37.34992977,-118.4620574,NAD83
10276000,BIG PINE C NR BIG PINE CA,Stream,37.14493125,-118.3153798,NAD83
10276200,DEADMAN CYN C NR BIG PINE CA,Stream,37.14437508,-118.1217619,NAD83
10276500,TINEMAHA C NR BIG PINE CA,Stream,37.05215538,-118.269822,NAD83
10277000,BIRCH C NR BIG PINE CA,Stream,37.06604399,-118.2776,NAD83
10277400,OWENS R BL TINEMAHA RE NR BIG PINE CA,Stream,37.0529883,-118.2273207,NAD83
10277500,OWENS R NR BIG PINE CA,Stream,37.0152113,-118.2245425,NAD83
10278000,TABOOSE C NR ABERDEEN CA,Stream,36.9985454,-118.258988,NAD83
10278500,GOODALE C NR ABERDEEN CA,Stream,36.9854898,-118.2712101,NAD83
10281500,OAK C NR INDEPENDENCE CA,Stream,36.83298845,-118.2470415,NAD83
10281800,INDEPENDENCE C BL PINYON C NR INDEPENDENCE CA,Stream,36.7785438,-118.2645412,NAD83
10282000,INDEPENDENCE C NR INDEPENDENCE CA,Stream,36.79298795,-118.2134288,NAD83
10282480,MAZOURKA C NR INDEPENDENCE CA,Stream,36.84715388,-118.0848133,NAD83
10284500,OWENS R NR LONE PINE CA,Stream,36.6193775,-118.0356428,NAD83
10284800,INYO C NR LONE PINE CA,Stream,36.59771177,-118.183701,NAD83
10285000,LONE PINE C NR LONE PINE CA,Stream,36.6027112,-118.078699,NAD83
10285500,TUTTLE C NR LONE PINE CA,Stream,36.583267,-118.0786987,NAD83
10285700,OWENS R A KEELER BRIDGE NR LONE PINE CA,Stream,36.5793779,-118.0192531,NAD83
10286000,COTTONWOOD C NR OLANCHA CA,Stream,36.4388246,-118.0809189,NAD83
10286001,COTTONWOOD C NR OLANCHA CA.+ PH CA,Stream,36.4388246,-118.0809189,NAD83
10286002,COTTONWOOD C DIV TO PH CA,Stream,36.4388246,-118.0809189,NAD83
10287069,MILL C BL LUNDY LK NR LEE VINING CA,Stream,38.0329787,-119.2165424,NAD83
10287070,MILL C BL LUNDY LK NR MONO LK(ACTUAL) CA,Stream,38.0327009,-119.215709,NAD83
10287071,MILL C BL LUNDY LK NR MONO LK NATURAL FLOW CA,Stream,38.0327009,-119.215709,NAD83
10287145,UP CONWAY D NR LEE VINING CA,Stream,38.04214527,-119.1726516,NAD83
10287195,LUNDY PP TAILRACE NR LEE VINING CA,Stream,38.0427008,-119.1726516,NAD83
10287210,BRIDGEPORT C NR BODIE CA,Stream,38.0790888,-119.0454237,NAD83
10287240,DRY C NR JUNE LAKE CA,Stream,37.8832623,-118.885694,NAD83
10287262,RUSH C CONTROLLED REL BL WAUGH LK NR JUNE LAKE CA,Stream,37.7510421,-119.1815348,NAD83
10287281,RUSH C CONTROLLED REL BL GEM LAKE NR JUNE LAKE CA,Stream,37.75132009,-119.1415343,NAD83
10287289,RUSH C AT FLUME BL AGNEW LAKE NR JUNE LAKE CA,Stream,37.7590977,-119.130701,NAD83
10287290,RUSH C BL AGNEW LK NR JUNE LAKE CA (ACTUAL) CA,Stream,37.7588199,-119.130701,NAD83
10287291,RUSH C BL AGNEW LK NR JUNE LAKE CA (NAT FLOW),Stream,37.7588199,-119.130701,NAD83
10287300,RUSH C PP TAILRACE NR JUNE LAKE CA,Stream,37.76631976,-119.1223677,NAD83
10287400,RUSH C AB GRANT LK NR JUNE LK CA,Stream,37.80631867,-119.1090349,NAD83
10287500,RUSH C NR MONO LK CA,Stream,37.948537,-119.0593133,NAD83
10287655,LEE VINING C BL SADDLEBAG LK NR LEE VINING CA,Stream,37.9643687,-119.2732103,NAD83
10287720,GLACIER C BL TIOGA LK NR LEE VINING CA,Stream,37.92798117,-119.2512636,NAD83
10287762,POOLE PP CONDUIT INTAKE NR LEE VINING CA,Stream,37.9357588,-119.2307076,NAD83
10287770,LEE VINING C BL RHINEDOLLAR DAM NR LEE VINING CA,Stream,37.93603659,-119.2309854,NAD83
10287780,LEE VINING C BL POOLE PP NR LEE VINING CA,Stream,37.94464754,-119.2126518,NAD83
10287900,LEE VINING C NR LEE VINING CA,Stream,37.9293704,-119.1704277,NAD83
10288000,LEE VINING C NR MONO LK CA,Stream,37.94159246,-119.12876,NAD83
10289000,"VIRGINIA CK NR BRIDGEPORT, CA",Stream,38.19186474,-119.2101533,NAD83
10289490,"GREEN CK BLW CAMPGROUND NR BRIDGEPORT, CA",Stream,38.11580556,-119.2594194,NAD83
10289500,"GREEN CK NR BRIDGEPORT, CA",Stream,38.17380969,-119.2337656,NAD83
10290000,SUMMERS C NR BRIDGEPORT CA,Stream,38.15408779,-119.2593223,NAD83
10290200,E WALKER R A BRIDGEPORT CA,Stream,38.25825265,-119.2259875,NAD83
10290500,"ROBINSON CK AT TWIN LKS OUTLET NR BRIDGEPORT, CA",Stream,38.17214225,-119.3246032,NAD83
10291000,"ROBINSON CK NR BRIDGEPORT, CA",Stream,38.2082528,-119.3221032,NAD83
10291100,ROBINSON C A HWY 395 NR BRIDGEPORT CA,Stream,38.2599193,-119.273212,NAD83
10291200,ROBINSON C A BRIDGEPORT RES NR BRIDGEPORT CA,Stream,38.27297484,-119.2551557,NAD83
10291480,"BUCKEYE CK AT BIG MEADOW NR BRIDGEPORT, CA",Stream,38.20538889,-119.4154389,NAD83
10291495,"EAGLE CK AT BUCKEY CAMPGROUND NR BRIDGEPORT, CA",Stream,38.23519444,-119.344361,NAD83
10291500,"BUCKEYE CK NR BRIDGEPORT, CA",Stream,38.23880787,-119.3259923,NAD83
10291750,"BY DAY CK NR BRIDGEPORT, CA",Stream,38.2688076,-119.303769,NAD83
10291800,BUCKEYE C A HWY 395 NR BRIDGEPORT CA,Stream,38.26380805,-119.2779345,NAD83
10292000,"SWAUGER CK NR BRIDGEPORT, CA",Stream,38.28269628,-119.29988,NAD83
10292100,BUCKEYE C A BRIDGEPORT RES NR BRIDGEPORT CA,Stream,38.2768636,-119.2579336,NAD83
10292300,"BRIDGEPORT RE TRIB NR BRIDGEPORT, CA",Stream,38.2874187,-119.2148758,NAD83
10293000,"E WALKER RV NR BRIDGEPORT, CA",Stream,38.3276958,-119.2148759,NAD83
10293015,"MURPHY CK ABV E WALKER RV NR BRIDGEPORT, CA",Stream,38.3718617,-119.1982084,NAD83
10293030,E WALKER R A STATELINE NR BRIDGEPORT CA,Stream,38.41436107,-119.166818,NAD83
10293048,"SWEETWATER CK AT HWY 338 ABV MTH NR BRIDGEPORT, CA",Stream,38.441583,-119.1309831,NAD83
10293050,"E WALKER RV BLW SWEETWATER CK NR BRIDGEPORT, CA",Stream,38.44074975,-119.1059819,NAD83
10293100,"E WALKER RV BLW CONFL ROUGH CK NR THE ELBOW, NV",Stream,38.43603056,-119.0112,NAD83
10293200,"E WALKER RV AT MORGAN BRIDGE NR WICHMAN CYN, NV",Stream,38.548,-118.950061,NAD83
10293400,"E WALKER RV AT IVY RANCH BRG NR MASON, NV",Stream,38.7185,-118.9795556,NAD83
10293500,"E WALKER RV ABV STROSNIDER DITCH NR MASON, NV",Stream,38.81371389,-119.0479917,NAD83
10294000,"E WALKER RV ABV MASON VAL NR MASON, NV",Stream,38.84463889,-119.0831917,NAD83
10294130,"HIGH DITCH NR MASON, NV",Stream,38.8946111,-119.136961,NAD83
10294180,"HIGH DITCH NR HALL DITCH DIV NEAR MASON, NV",Stream,38.8741611,-119.1259306,NAD83
10294500,"E WALKER RV NR YERINGTON, NV",Stream,38.84964444,-119.098136,NAD83
10295000,"E WALKER RV NR MASON, NV",Stream,38.8774,-119.1442806,NAD83
10295010,"MICKEY DITCH NR BORSINI LN NR MASON, NV",Stream,38.89898889,-119.1605806,NAD83
10295020,"MICKEY DITCH BLW FLUME AT E WALKER RD NR MASON, NV",Stream,38.8816111,-119.146961,NAD83
10295025,"FOX DITCH AT BARTLETT LN NR MASON, NV",Stream,38.9032111,-119.158161,NAD83
10295030,"FOX DITCH BLW DIV AT E WALKER RD NR MASON, NV",Stream,38.8812,-119.14705,NAD83
10295100,"E WALKER RV AT NORDYKE RD NR MASON, NV",Stream,38.88880509,-119.167931,NAD83
10295200,W WALKER R A LEAVITT MD NR COLEVILLE CA,Stream,38.3304697,-119.5523913,NAD83
10295300,"W WALKER RV AT HWY 108 BRG BLW PICKEL MEADOWS, CA",Stream,38.36602535,-119.481833,NAD83
10295450,HOT C TRIB NR BRIDGEPORT CA,Stream,38.3515824,-119.3990514,NAD83
10295500,"L WALKER RV NR BRIDGEPORT, CA",Stream,38.3607482,-119.4448868,NAD83
10296000,"W WALKER RV BLW L WALKER RV NR COLEVILLE, CA",Stream,38.3796366,-119.4501649,NAD83
10296500,"W WALKER RV NR COLEVILLE, CA",Stream,38.51324495,-119.4498872,NAD83
10296580,"MILL CK ABV LOST CANNON CK NR WALKER, CA",Stream,38.4865782,-119.484611,NAD83
10296585,"MILL CK AT HWY 395 AT WALKER, CA",Stream,38.51325,-119.4714389,NAD83
10296590,"HIGHLINE DITCH AT TOPAZ LN NR TOPAZ, CA",Stream,38.6047611,-119.4658,NAD83
10296595,"HIGHLINE DITCH AT CUNNINGHAM ST NR COLEVILLE, CA",Stream,38.5782111,-119.46325,NAD83
10296610,"HIGHLINE DITCH AT LARSON ST NR COLEVILLE, CA",Stream,38.54495,-119.479661,NAD83
10296615,"BIG SLOUGH BLW DIV W WALKER RIVER AT WALKER, CA",Stream,38.5189111,-119.4736389,NAD83
10296630,"W WALKER RVR AT CUNNINHAM BRIDGE AT COLEVILLE, CA",Stream,38.57969444,-119.5069194,NAD83
10296650,"W WALKER RV ABV TOPAZ LAKE AT TOPAZ, CA",Stream,38.6107425,-119.5176678,NAD83
10296700,"W WALKER RV BLW TOPAZ CANAL DIV NR TOPAZ, CA",Stream,38.63638889,-119.5063889,NAD83
10296800,SLINKARD C TRIB NR TOPAZ CA,Stream,38.6471304,-119.5621137,NAD83
10297100,"W WALKER RVR BLW TOPAZ CANAL NR WELLINGTON, NV",Stream,38.6994722,-119.471,NAD83
10297500,"W WALKER RV AT HOYE BRG NR WELLINGTON, NV",Stream,38.72806389,-119.427861,NAD83
10298000,"SARONI CANAL NR WELLINGTON, NV",Stream,38.74852099,-119.394051,NAD83
10298050,SARONI CANAL NR PLYMOUTH CANAL DIV NR SMITH VLY,Stream,38.75041944,-119.3884,NAD83
10298100,"SARONI CANAL AT SR 338 AT SMITH VLY, NV",Stream,38.7412611,-119.33125,NAD83
10298500,"W WALKER RV NR WELLINGTON, NV",Stream,38.7482861,-119.3958,NAD83
10298510,"COLONY DITCH BLW DIV W WALKER RVR NR SMITH VLY, NV",Stream,38.75013889,-119.3934889,NAD83
10298550,PLYMOUTH CANAL BLW DIV W WALKER RVR NR SMITH VLY,Stream,38.75003056,-119.3911,NAD83
10298560,PLYMOUTH CANAL AT WELLINGTON CUTOFF NR WELLINGTON,Stream,38.74873056,-119.3627194,NAD83
10298600,"W WALKER RV BLW SMITH VLY DIV NR WELLINGTON, NV",Stream,38.7820722,-119.3825583,NAD83
10298700,"W WALKER R AT HWY 824 AT SMITH VLY, NV",Stream,38.8233333,-119.3286694,NAD83
10299000,"DESERT CK ABV LOBDEL LAKE NR WELLINGTON, NV",Stream,38.43880556,-119.3610306,NAD83
10299005,"DESERT CK BLW LOBDEL DAM NR WELLINGTON, NV",Stream,38.44355556,-119.3607194,NAD83
10299020,"DESERT CK BLW EF DESERT CK NR WELLINGTON, NV",Stream,38.50880556,-119.3505,NAD83
10299050,"DESERT CK ABV JACKASS CK NR WELLINGTON, NV",Stream,38.58605556,-119.3244694,NAD83
10299100,"DESERT CK NR WELLINGTON, NV",Stream,38.6485235,-119.3259925,NAD83
10299102,"DESERT CK AT DESERT CK RANCH BRG NR WELLINGTON, NV",Stream,38.6546346,-119.3240479,NAD83
10299120,"OBANION CYN NR WELLINGTON, NV",Stream,38.63463599,-119.2648786,NAD83
10299274,"S FK RED CYN CK NR WELLINGTON, NV",Stream,38.83575,-119.4758306,NAD83
10299275,"N FK RED CYN CK NR WELLINGTON, NV",Stream,38.83663889,-119.475861,NAD83
10299300,"RED CYN CK NR WELLINGTON, NV",Stream,38.8483333,-119.4338889,NAD83
10300000,"W WALKER RV NR HUDSON, NV",Stream,38.8096366,-119.227377,NAD83
10300125,"TUNNEL DITCH AT SHEPARDS WAY NR HUDSON, NV",Stream,38.82726944,-119.167861,NAD83
10300150,"TUNNEL DITCH BLW TUNNEL NR HUDSON, NV",Stream,38.8225,-119.1991694,NAD83
10300200,"W WALKER RV AT HWY 208 BRG 1648 NR MASON, NV",Stream,38.83374444,-119.1857639,NAD83
10300400,"W WALKER RV AT NORDYKE RD NR MASON, NV",Stream,38.8893605,-119.1793202,NAD83
10300500,"WALKER RV NR NORDYKE, NV",Stream,38.89991615,-119.1843203,NAD83
10300600,"WALKER RV AT SNYDER LN NR MASON, NV",Stream,38.92125,-119.1915833,NAD83
10301000,"WALKER RV AT MASON, NV",Stream,38.94852787,-119.187098,NAD83
10301009,"SPRAGUE DITCH BLW FLUME AT MASON RD AT MASON, NV",Stream,38.9559611,-119.1858389,NAD83
10301010,"SPRAGUE DITCH AT FLUME AT MASON RD AT MASON, NV",Stream,38.95578056,-119.1858,NAD83
10301100,"WALKER RV AT E BRG STREET NR YERINGTON, NV",Stream,38.98269504,-119.182098,NAD83
10301110,"CAMPBELL DITCH BLW WEIR AT YERINGTON, NV",Stream,38.997,-119.1777306,NAD83
10301115,"WALKER RVR BLW YERINGTON WEIR NR YERINGTON, NV",Stream,39.02041667,-119.1560556,NAD83
10301120,"WALKER RV AT MILLER LN NR YERINGTON, NV",Stream,39.04827778,-119.1330556,NAD83
10301180,"E DRAIN ABV MASON VALLEY WMA NR YERINGTON, NV",Stream,39.037141,-119.079319,NAD83
10301280,PERK SLOUGH AT MASON VALLEY WMA BOUNDRY NR WABUSKA,Stream,39.12158586,-119.0754314,NAD83
10301290,"PERK/JOGGLES SLOUGH ABV CONFL WITH WALKER RV, NV",Stream,39.1425,-119.1048194,NAD83
10301300,WALKER RV BLW MASON VLY WMA AT RR XING NR WABUSKA,Stream,39.12816667,-119.1166944,NAD83
10301400,"WALKER RV ABV WABUSKA DRAIN CONFL NR WABUSKA, NV",Stream,39.1458611,-119.1067222,NAD83
10301480,"WABUSKA DRAIN AT SIERRA WAY NR WABUSKA, NV",Stream,39.12825159,-119.1879326,NAD83
10301495,WABUSKA DRAIN ABV WALKER RV CNFL NR PARKER BUTTE,Stream,39.1509083,-119.103786,NAD83
10301500,"WALKER RV NR WABUSKA, NV",Stream,39.1524611,-119.0988889,NAD83
10301600,"WALKER RV ABV WEBER RES NR SCHURZ, NV",Stream,39.1032533,-118.929317,NAD83
10301650,"WALKER RV AT MOUTH OF WEBER RES NR SCHURZ, NV",Stream,39.08105556,-118.9134722,NAD83
10301710,"WALKER RV BLW WEBER RES NR SCHURZ, NV",Stream,39.04297579,-118.8587585,NAD83
10301720,"WALKER RV AT PT SITE BLW WEBER RES NR SCHURZ, NV",Stream,39.0338091,-118.8623696,NAD83
10301740,"WALKER RV ABV CANAL 1-2 DIV WEIR NR SCHURZ, NV",Stream,39.01686466,-118.8662583,NAD83
10301745,"WALKER RV ABV LITTLE DAM NR SCHURZ, NV",Stream,39.01353135,-118.8609803,NAD83
10301750,"WALKER RV AT LITTLE DAM WEIR ABV SCHURZ, NV",Stream,39.012698,-118.8609803,NAD83
10301765,"LATERAL 1A ABV HWY 95 AT SCHURZ, NV",Stream,38.9468645,-118.8126449,NAD83
10301770,"LATERAL 2A AT TAKEOUT NR SCHURZ, NV",Stream,38.9549202,-118.8012558,NAD83
10301780,"LATERAL 2D BLW SCHURZ, NV",Stream,38.92186459,-118.7698657,NAD83
10301900,"CANAL 2 AT END OF LINED DITCH BLW SCHURZ, NV",Stream,38.88880888,-118.7551427,NAD83
10302000,"WALKER RV AT SCHURZ, NV",Stream,38.94908679,-118.8079225,NAD83
10302002,"WALKER RV AT LATERAL 2-A SIPHON NR SCHURZ, NV",Stream,38.94019785,-118.8037557,NAD83
10302005,"WALKER RV AT POWERLINE CROSSING NR SCHURZ, NV",Stream,38.89464207,-118.7826435,NAD83
10302009,"REESE RV CYN AT CYN MTH NR SCHURZ, NV",Stream,38.8486111,-118.8047222,NAD83
10302010,"REESE RV CYN NR SCHURZ, NV",Stream,38.84991948,-118.7829208,NAD83
10302025,"WALKER RV NR MOUTH AT WALKER LAKE, NV",Stream,38.79103038,-118.727085,NAD83
10302030,"WILDHORSE CYN NR WALKER LAKE, NV",Stream,38.7915859,-118.6390257,NAD83
10302115,"ALUM CK NR HAWTHORNE, NV",Stream,38.4343675,-118.658468,NAD83
10302120,"NORTH CYN NR HAWTHORNE, NV",Stream,38.44575628,-118.668746,NAD83
10302125,"WASSUK CK NR HAWTHORNE, NV",Stream,38.45825616,-118.6959689,NAD83
10302130,"COREY CK NR HAWTHORNE, NV",Stream,38.4827003,-118.7054134,NAD83
10302135,"CAT CK NR HAWTHORNE, NV",Stream,38.5440884,-118.7154142,NAD83
10302140,"HOUSE CK NR HAWTHORNE, NV",Stream,38.5707547,-118.7179147,NAD83
10302145,"ROSE CK NR WALKER LAKE, NV",Stream,38.58353236,-118.750416,NAD83
10302150,"N ROSE CK NR WALKER LAKE, NV",Stream,38.59825438,-118.7512496,NAD83
10302155,"DUTCH CK NR WALKER LAKE, NV",Stream,38.6293649,-118.7598615,NAD83
10302160,"COTTONWOOD CK NR WALKER LAKE, NV",Stream,38.5779755,-118.8243069,NAD83
10302180,"DRY CK NR WALKER LAKE, NV",Stream,38.69325276,-118.7770853,NAD83
10302185,"COPPER CYN AT MOUTH NR WALKER LAKE, NV",Stream,38.73353,-118.7801416,NAD83
10302500,"E FK CARSON RV ABV SODA SPGS RANGER STATION, CA",Stream,38.49990937,-119.6843414,NAD83
10303000,SILVER KING C NR COLEVILLE CA,Stream,38.5165765,-119.6010046,NAD83
10303500,EF CARSON R ASKV NR MARKLEEVILLE CA,Stream,38.5749086,-119.634339,NAD83
10304000,"WOLF CK NR MARKLEEVILLE, CA",Stream,38.53324185,-119.7176758,NAD83
10304500,"SILVER CK BLW PENN CR NR MARKLEEVILLE, CA",Stream,38.59990726,-119.7760107,NAD83
10305000,"SILVER CK NR MARKLEEVILLE, CA",Stream,38.6199068,-119.7426762,NAD83
10305280,MONTOR C ABV LOVESTEDT TAILINGS NR MARKLEEVILLE CA,Stream,38.6654621,-119.6929518,NAD83
10305300,MONITOR C A EF CARSON R NR MARKLEEVILLE CA,Stream,38.66018406,-119.7265642,NAD83
10305500,"E FK CARSON RV NR MARKLEEVILLE, CA",Stream,38.6887945,-119.7632319,NAD83
10306000,"HOT SPGS CK NR MARKLEEVILLE, CA",Stream,38.69990619,-119.851012,NAD83
10306500,"HOT SPGS CK AT MARKLEVILLE, CA",Stream,38.69018368,-119.7976773,NAD83
10307000,PLESANT V CK ABV RAYMOND CYN CK NR MARKLEEVILLE,Stream,38.64990689,-119.8343454,NAD83
10307500,"PLEASANT VALLEY CK NR MARKLEEVILLE, CA",Stream,38.6882392,-119.7901771,NAD83
10308000,"MARKLEEVILLE CK A MARKLEEVILLE, CA",Stream,38.6935168,-119.7815658,NAD83
10308100,MILLBERRY C A MARKLEEVILLE CA,Stream,38.6999056,-119.7843436,NAD83
10308200,E FK CARSON RV BLW MARKLEEVILLE CK NR MARKLEEVILLE,Stream,38.7146274,-119.7648985,NAD83
10308201,TRUCKEE-CARSON EF CARSON R BL MARKLEEVILLE CA,Stream,38.7137941,-119.7648985,NAD83
10308500,"E FK CARSON RV A CA-NV STATE LINE, CA",Stream,38.78823897,-119.698785,NAD83
10308525,"E FK CARSON RV ABV BRYANT CK NR GARDNERVILLE, NV",Stream,38.8018503,-119.6979518,NAD83
10308783,LEVIATHAN C AB MINE NR MARKLEEVILLE CA,Stream,38.70128509,-119.6565398,NAD83
103087835,UNNAMED TRIB 1 TO LEVIATHAN C AT LEVIATHAN MINE CA,Stream,38.7033333,-119.6591667,NAD83
103087855,LEVIATHAN MINE PIT JUNCTION BOX NR MARKLEEVILLE CA,Stream,38.7058333,-119.6566667,NAD83
10308786,"LEVIATHAN MINE WASTE FLOW NR MARKLEEVILLE, CA",Stream,38.70518399,-119.6626727,NAD83
103087865,UNNAMED TRIB 2 TO LEVIATHAN C AT LEVIATHAN MINE CA,Stream,38.70555556,-119.6622222,NAD83
10308787,LEVIATHAN MINE SEEP BLW CRUSHER NR MARKLEEVILLE CA,Stream,38.7051844,-119.622949,NAD83
10308788,"LEVIATHAN CK BLW DELTA NR MARKLEEVILLE, CA",Stream,38.70851727,-119.6632283,NAD83
103087885,LEVIATHAN C CHANNEL UNDERDRAIN NR MARKLEEVILLE CA,Stream,38.7093506,-119.6623949,NAD83
103087889,4L C NR MARKLEEVILLE CA,Stream,38.7108333,-119.6630556,NAD83
10308789,LEVIATHAN C AB ASPEN C NR MARKLEEVILLE CA,Stream,38.71684034,-119.6601513,NAD83
103087891,ASPEN C ABV LEVIATHAN MINE NR MARKLEEVILLE CA,Stream,38.7086111,-119.648611,NAD83
103087892,ASPEN C OVERBURDEN SEEP NR MARKLEEVILLE CA,Stream,38.71240619,-119.6540613,NAD83
103087898,ASPEN C AB LEVIATHAN C NR MARKLEEVILLE CA,Stream,38.71712828,-119.6593392,NAD83
10308790,"LEVIATHAN CK BLW MINE NR MARKLEEVILLE, CA",Stream,38.7187949,-119.6590614,NAD83
10308792,LEVIATHAN C AB MOUNTAINEER C NR MARKLEEVILLE CA,Stream,38.735729,-119.6454289,NAD83
10308794,BRYANT C BL MOUNTAINEER C NR MARKLEEVILLE CA,Stream,38.735729,-119.6454289,NAD83
10308800,"BRYANT CK NR GARDNERVILLE, NV",Stream,38.79379494,-119.672673,NAD83
10308875,"BRYANT CK ABV E FK CARSON RV NR GARDNERVILLE, NV",Stream,38.803517,-119.6973962,NAD83
10308900,"E FK CARSON RV BLW BRYANT CK NR GARDNERVILLE, NV",Stream,38.80462807,-119.7018408,NAD83
10309000,"E FK CARSON RV NR GARDNERVILLE, NV",Stream,38.84519444,-119.7060833,NAD83
10309005,"BODIE FLAT TRIB NR GARDNERVILLE, NV",Stream,38.8354628,-119.6321159,NAD83
10309010,"E FK CARSON RV NR DRESSLERVILLE, NV",Stream,38.88013889,-119.6918056,NAD83
10309025,"INDIAN CK AT WOODFORDS, CA",Stream,38.7482384,-119.8160107,NAD83
10309030,"INDIAN CK AT DIAMOND VALLEY NR PAYNESVILLE, CA",Stream,38.77684935,-119.7598983,NAD83
10309035,"INDIAN CK ABV MOUTH NR GARDNERVILLE,NV",Stream,38.87901944,-119.702711,NAD83
