Creek,Watershed,Mean_NDVI,WY
CEDEN Oregon Creek 0.85 mi d/s Gale Cr.,Yuba,0.7702999711,2001
CEDEN Lincoln Creek,Yuba,0.6050999761,2001
CEDEN Slate Creek (USFS),Yuba,0.6403999925,2001
DC 10 (headwaters),Yuba/Deer,0.8648999929,2001
DC 20 (Willow Valley Rd),Yuba/Deer,0.7139999866,2001
DC 26 (Little Deer Creek),Yuba/Deer,0.6765999794,2001
DC 40 (WWTP),Yuba/Deer,0.7778999805,2001
DC 80 (b4 LWW),Yuba/Deer,0.576399982,2001
DC 116 (Squirrel b4 Deer),Yuba/Deer,0.5496000051,2001
DC 110 (Deer Creek Ranch),Yuba/Deer,0.5598000288,2001
EF NF American,American,0.7674000263,2002
Fulda,American,0.7389000058,2002
S Fk Silver,American,0.4262999892,2002
Onion,American,0.7074999809,2002
Onion V,American,0.7799999714,2002
Traverse,American,0.4772999883,2002
CEDEN Monumental Creek,American,0.668299973,2002
Lyons Cr,American,0.5928000212,2002
Jones Fork Silver Cr,American,0.5989999771,2002
American R (Middle Fork),American,0.7020999789,2002
CEDEN Pilot Creek 0.7mi below Plum Cr.,American,0.8077999949,2002
CEDEN Monumental Creek ~2.1mi above EF NF of NF American R.,American,0.668299973,2002
CEDEN Silver Fork American River at Silver Fork Rd.,American,0.649699986,2002
CEDEN Cold Stream ~0.9mi below Rice Cyn. Cr.,American,0.5120000243,2002
BR 10 (headwaters),Bear,0.7128000259,2002
BR 22 (Steephollow),Bear,0.5612999797,2002
BR 55 (Dry Creek Spenceville),Bear,0.3007000089,2002
Above Jackrabbit Bridge,Burney Cr,0.6518999934,2002
Cat,Cosumnes,0.7601000071,2002
Cosumnes,Cosumnes,0.7918000221,2002
Consumnes R (North Fork),Cosumnes,0.6913999915,2002
CEDEN Grizzly Creek above Grizzly Forebay,Feather,0.6855999827,2002
CEDEN Spanish Creek below Greenhorn Creek,Feather,0.6251000166,2002
Below Twin Bridges CG,Hat Cr,0.6345000267,2002
Above Moose Camp,Hatchet Cr,0.5070999861,2002
Below Lassen Cr C.G.,LassenCr,0.5963000059,2002
Nelson,MF Feather,0.7796999812,2002
EF Nelson,MF Feather,0.7245000005,2002
Cascade Cr,MF Feather,0.8173000216,2002
Sulfur Cr,MF Feather,0.5163999796,2002
Jameson Cr,MF Feather,0.7617999911,2002
Onion Valley Cr,MF Feather,0.8199999928,2002
Poplar Cr,MF Feather,0.6108000278,2002
Nelson Cr,MF Feather,0.798600018,2002
McCloud,McCloud,0.7279999852,2002
Moosehead,McCloud,0.8519999981,2002
OC 10 (Oregon Creek),Middle Yuba,0.7301999927,2002
Warner,NF Feather,0.6143000126,2002
Grassy Swale,NF Feather,0.6664000154,2002
Meadow Valley Cr,NF Feather,0.5886999965,2002
Spanish Cr,NF Feather,0.6159999967,2002
Wolf Cr,NF Feather,0.6198999882,2002
Butt Cr,NF Feather,0.549399972,2002
Feather R (North Fork),NF Feather,0.6315000057,2002
Below Jess Valley Bridge,Pit R (South Fork),0.3219999969,2002
Butte,Sacramento,0.8227000237,2002
Willow Butte,Sacramento,0.7580000162,2002
Deer Cr,Sacramento,0.7864999771,2002
Mill Cr,Sacramento,0.7856000066,2002
Martin Cr,Sacramento,0.5629000068,2002
CEDEN Big Chico Creek ~1.6mi below Ponderosa Way,Sacramento,0.6373000145,2002
Clark Fork of Stanislaus R,Stanislaus,0.5878999829,2002
Arnot Cr,Stanislaus,0.6678000093,2002
CEDEN Arnot Cr 1,Stanislaus,0.7031000257,2002
CEDEN Coyote Creek Natural Bridges,Stanislaus,0.4589999914,2002
Jawbone Cr,Tuolumne,0.7285000086,2002
CEDEN Jawbone Creek ~0.9mi above Crane Cr.,Tuolumne,0.6730999947,2002
CEDEN Jawbone Creek ~1.8mi below Crane Cr.,Tuolumne,0.7702999711,2002
"CEDEN Tuolumne River, NF ~0.6mi below Basin Cr.",Tuolumne,0.6897000074,2002
Fall,Yuba,0.7397999763,2002
Haypress,Yuba,0.7232000232,2002
Pauley,Yuba,0.8143000007,2002
North Yuba,Yuba,0.655099988,2002
Middle Yuba @Foote Xing,Yuba,0.7761999965,2002
Rock,Yuba,0.7897999883,2002
Shady,Yuba,0.5900999904,2002
CEDEN Oregon Creek,Yuba,0.7146999836,2002
Oregon Cr (actually appears to be Millers Creek),Yuba,0.7710999846,2002
Fall Cr,Yuba,0.7893000245,2002
CEDEN Oregon Creek 0.85 mi d/s Gale Cr.,Yuba,0.7146999836,2002
CEDEN Lincoln Creek,Yuba,0.5683000088,2002
CEDEN Slate Creek (USFS),Yuba,0.5993999839,2002
DC 10 (headwaters),Yuba/Deer,0.8417000175,2002
DC 20 (Willow Valley Rd),Yuba/Deer,0.6991000175,2002
DC 26 (Little Deer Creek),Yuba/Deer,0.6891999841,2002
DC 40 (WWTP),Yuba/Deer,0.731400013,2002
DC 80 (b4 LWW),Yuba/Deer,0.5343000293,2002
DC 116 (Squirrel b4 Deer),Yuba/Deer,0.5389999747,2002
DC 110 (Deer Creek Ranch),Yuba/Deer,0.5406000018,2002
EF NF American,American,0.7961999774,2003
Fulda,American,0.7628999949,2003
S Fk Silver,American,0.4981000125,2003
Onion,American,0.7019000053,2003
Onion V,American,0.8093000054,2003
Traverse,American,0.5234000087,2003
CEDEN Monumental Creek,American,0.6657000184,2003
Lyons Cr,American,0.5691999793,2003
Jones Fork Silver Cr,American,0.6758999825,2003
American R (Middle Fork),American,0.6995000243,2003
CEDEN Pilot Creek 0.7mi below Plum Cr.,American,0.7876999974,2003
CEDEN Monumental Creek ~2.1mi above EF NF of NF American R.,American,0.6657000184,2003
CEDEN Silver Fork American River at Silver Fork Rd.,American,0.5769000053,2003
CEDEN Cold Stream ~0.9mi below Rice Cyn. Cr.,American,0.4977999926,2003
BR 10 (headwaters),Bear,0.7204999924,2003
BR 22 (Steephollow),Bear,0.6819999814,2003
BR 55 (Dry Creek Spenceville),Bear,0.3273000121,2003
Above Jackrabbit Bridge,Burney Cr,0.6524999738,2003
Cat,Cosumnes,0.7538999915,2003
Cosumnes,Cosumnes,0.8331999779,2003
Consumnes R (North Fork),Cosumnes,0.6872000098,2003
CEDEN Grizzly Creek above Grizzly Forebay,Feather,0.7627999783,2003
CEDEN Spanish Creek below Greenhorn Creek,Feather,0.6079999804,2003
Below Twin Bridges CG,Hat Cr,0.5881999731,2003
Above Moose Camp,Hatchet Cr,0.6607000232,2003
Below Lassen Cr C.G.,LassenCr,0.564899981,2003
Nelson,MF Feather,0.8011999726,2003
EF Nelson,MF Feather,0.7218999863,2003
Cascade Cr,MF Feather,0.8404999971,2003
Sulfur Cr,MF Feather,0.603399992,2003
Jameson Cr,MF Feather,0.7512999773,2003
Onion Valley Cr,MF Feather,0.8396999836,2003
Poplar Cr,MF Feather,0.6312000155,2003
Nelson Cr,MF Feather,0.7637000084,2003
McCloud,McCloud,0.6672000289,2003
Moosehead,McCloud,0.8195000291,2003
OC 10 (Oregon Creek),Middle Yuba,0.7573999763,2003
Warner,NF Feather,0.5824999809,2003
Grassy Swale,NF Feather,0.6909000278,2003
Meadow Valley Cr,NF Feather,0.521600008,2003
Spanish Cr,NF Feather,0.6200000048,2003
Wolf Cr,NF Feather,0.621999979,2003
Butt Cr,NF Feather,0.5946999788,2003
Feather R (North Fork),NF Feather,0.6463999748,2003
Below Jess Valley Bridge,Pit R (South Fork),0.3330000043,2003
Butte,Sacramento,0.7080000043,2003
Willow Butte,Sacramento,0.7160000205,2003
Deer Cr,Sacramento,0.7294999957,2003
Mill Cr,Sacramento,0.700600028,2003
Martin Cr,Sacramento,0.5598999858,2003
CEDEN Big Chico Creek ~1.6mi below Ponderosa Way,Sacramento,0.7075999975,2003
Clark Fork of Stanislaus R,Stanislaus,0.6125000119,2003
Arnot Cr,Stanislaus,0.6707999706,2003
CEDEN Arnot Cr 1,Stanislaus,0.6862000227,2003
CEDEN Coyote Creek Natural Bridges,Stanislaus,0.5019999743,2003
Jawbone Cr,Tuolumne,0.7646999955,2003
CEDEN Jawbone Creek ~0.9mi above Crane Cr.,Tuolumne,0.7303000093,2003
CEDEN Jawbone Creek ~1.8mi below Crane Cr.,Tuolumne,0.75,2003
"CEDEN Tuolumne River, NF ~0.6mi below Basin Cr.",Tuolumne,0.7149000168,2003
Fall,Yuba,0.7572000027,2003
Haypress,Yuba,0.7365999818,2003
Pauley,Yuba,0.8515999913,2003
North Yuba,Yuba,0.7624999881,2003
Middle Yuba @Foote Xing,Yuba,0.7860000134,2003
Rock,Yuba,0.8431000113,2003
Shady,Yuba,0.5566999912,2003
CEDEN Oregon Creek,Yuba,0.771600008,2003
Oregon Cr (actually appears to be Millers Creek),Yuba,0.8166000247,2003
Fall Cr,Yuba,0.8259999752,2003
CEDEN Oregon Creek 0.85 mi d/s Gale Cr.,Yuba,0.771600008,2003
CEDEN Lincoln Creek,Yuba,0.6274999976,2003
CEDEN Slate Creek (USFS),Yuba,0.6919999719,2003
DC 10 (headwaters),Yuba/Deer,0.8305000067,2003
DC 20 (Willow Valley Rd),Yuba/Deer,0.7930999994,2003
DC 26 (Little Deer Creek),Yuba/Deer,0.7207000256,2003
DC 40 (WWTP),Yuba/Deer,0.7544000149,2003
DC 80 (b4 LWW),Yuba/Deer,0.6414999962,2003
DC 116 (Squirrel b4 Deer),Yuba/Deer,0.5985999703,2003
DC 110 (Deer Creek Ranch),Yuba/Deer,0.5861999989,2003
EF NF American,American,0.7985000014,2004
Fulda,American,0.7347000241,2004
S Fk Silver,American,0.4356999993,2004
Onion,American,0.7164000273,2004
Onion V,American,0.7853999734,2004
Traverse,American,0.4697000086,2004
CEDEN Monumental Creek,American,0.7150999904,2004
Lyons Cr,American,0.6096000075,2004
Jones Fork Silver Cr,American,0.6053000093,2004
American R (Middle Fork),American,0.726000011,2004
CEDEN Pilot Creek 0.7mi below Plum Cr.,American,0.7389000058,2004
CEDEN Monumental Creek ~2.1mi above EF NF of NF American R.,American,0.7150999904,2004
CEDEN Silver Fork American River at Silver Fork Rd.,American,0.6197999716,2004
CEDEN Cold Stream ~0.9mi below Rice Cyn. Cr.,American,0.5428000093,2004
BR 10 (headwaters),Bear,0.7008000016,2004
BR 22 (Steephollow),Bear,0.6509000063,2004
BR 55 (Dry Creek Spenceville),Bear,0.3416999876,2004
Above Jackrabbit Bridge,Burney Cr,0.6816999912,2004
Cat,Cosumnes,0.7633000016,2004
Cosumnes,Cosumnes,0.8108000159,2004
Consumnes R (North Fork),Cosumnes,0.7124999762,2004
CEDEN Grizzly Creek above Grizzly Forebay,Feather,0.7781000137,2004
CEDEN Spanish Creek below Greenhorn Creek,Feather,0.6644999981,2004
Below Twin Bridges CG,Hat Cr,0.5856999755,2004
Above Moose Camp,Hatchet Cr,0.6391999722,2004
Below Lassen Cr C.G.,LassenCr,0.594900012,2004
Nelson,MF Feather,0.8054999709,2004
EF Nelson,MF Feather,0.6700999737,2004
Cascade Cr,MF Feather,0.8187000155,2004
Sulfur Cr,MF Feather,0.5113000274,2004
Jameson Cr,MF Feather,0.7524999976,2004
Onion Valley Cr,MF Feather,0.8177999854,2004
Poplar Cr,MF Feather,0.6377000213,2004
Nelson Cr,MF Feather,0.7849000096,2004
McCloud,McCloud,0.6955999732,2004
Moosehead,McCloud,0.8547999859,2004
OC 10 (Oregon Creek),Middle Yuba,0.7271999717,2004
Warner,NF Feather,0.6097000241,2004
Grassy Swale,NF Feather,0.6837000251,2004
Meadow Valley Cr,NF Feather,0.5978000164,2004
Spanish Cr,NF Feather,0.6008999944,2004
Wolf Cr,NF Feather,0.6069999933,2004
Butt Cr,NF Feather,0.575600028,2004
Feather R (North Fork),NF Feather,0.6772000194,2004
Below Jess Valley Bridge,Pit R (South Fork),0.3163999915,2004
Butte,Sacramento,0.7408999801,2004
Willow Butte,Sacramento,0.7143999934,2004
Deer Cr,Sacramento,0.7594000101,2004
Mill Cr,Sacramento,0.663500011,2004
Martin Cr,Sacramento,0.6015999913,2004
CEDEN Big Chico Creek ~1.6mi below Ponderosa Way,Sacramento,0.6923000216,2004
Clark Fork of Stanislaus R,Stanislaus,0.5881999731,2004
Arnot Cr,Stanislaus,0.698300004,2004
CEDEN Arnot Cr 1,Stanislaus,0.7124999762,2004
CEDEN Coyote Creek Natural Bridges,Stanislaus,0.4718999863,2004
Jawbone Cr,Tuolumne,0.733099997,2004
CEDEN Jawbone Creek ~0.9mi above Crane Cr.,Tuolumne,0.6822000146,2004
CEDEN Jawbone Creek ~1.8mi below Crane Cr.,Tuolumne,0.7601000071,2004
"CEDEN Tuolumne River, NF ~0.6mi below Basin Cr.",Tuolumne,0.6830999851,2004
Fall,Yuba,0.7123000026,2004
Haypress,Yuba,0.7267000079,2004
Pauley,Yuba,0.8073999882,2004
North Yuba,Yuba,0.6672000289,2004
Middle Yuba @Foote Xing,Yuba,0.7717000246,2004
Rock,Yuba,0.8030999899,2004
Shady,Yuba,0.7125999928,2004
CEDEN Oregon Creek,Yuba,0.7325999737,2004
Oregon Cr (actually appears to be Millers Creek),Yuba,0.8015999794,2004
Fall Cr,Yuba,0.8210999966,2004
CEDEN Oregon Creek 0.85 mi d/s Gale Cr.,Yuba,0.7325999737,2004
CEDEN Lincoln Creek,Yuba,0.5785999894,2004
CEDEN Slate Creek (USFS),Yuba,0.674300015,2004
DC 10 (headwaters),Yuba/Deer,0.8219000101,2004
DC 20 (Willow Valley Rd),Yuba/Deer,0.7511000037,2004
DC 26 (Little Deer Creek),Yuba/Deer,0.6750000119,2004
DC 40 (WWTP),Yuba/Deer,0.7542999983,2004
DC 80 (b4 LWW),Yuba/Deer,0.5393999815,2004
DC 116 (Squirrel b4 Deer),Yuba/Deer,0.5828999877,2004
DC 110 (Deer Creek Ranch),Yuba/Deer,0.6129000187,2004
EF NF American,American,0.810100019,2005
Fulda,American,0.7609000206,2005
S Fk Silver,American,0.4609999955,2005
Onion,American,0.6931999922,2005
Onion V,American,0.814800024,2005
Traverse,American,0.4776000082,2005
CEDEN Monumental Creek,American,0.7066000104,2005
Lyons Cr,American,0.6413000226,2005
Jones Fork Silver Cr,American,0.611800015,2005
American R (Middle Fork),American,0.7085999846,2005
CEDEN Pilot Creek 0.7mi below Plum Cr.,American,0.7721999884,2005
CEDEN Monumental Creek ~2.1mi above EF NF of NF American R.,American,0.7066000104,2005
CEDEN Silver Fork American River at Silver Fork Rd.,American,0.5825999975,2005
CEDEN Cold Stream ~0.9mi below Rice Cyn. Cr.,American,0.5303999782,2005
BR 10 (headwaters),Bear,0.7002000213,2005
BR 22 (Steephollow),Bear,0.7810000181,2005
BR 55 (Dry Creek Spenceville),Bear,0.3003999889,2005
Above Jackrabbit Bridge,Burney Cr,0.7021999955,2005
Cat,Cosumnes,0.7426000237,2005
Cosumnes,Cosumnes,0.823300004,2005
Consumnes R (North Fork),Cosumnes,0.6937999725,2005
CEDEN Grizzly Creek above Grizzly Forebay,Feather,0.6735000014,2005
CEDEN Spanish Creek below Greenhorn Creek,Feather,0.6656000018,2005
Below Twin Bridges CG,Hat Cr,0.6094999909,2005
Above Moose Camp,Hatchet Cr,0.6613000035,2005
Below Lassen Cr C.G.,LassenCr,0.5900999904,2005
Nelson,MF Feather,0.773999989,2005
EF Nelson,MF Feather,0.7393000126,2005
Cascade Cr,MF Feather,0.8482000232,2005
Sulfur Cr,MF Feather,0.5673999786,2005
Jameson Cr,MF Feather,0.7501000166,2005
Onion Valley Cr,MF Feather,0.8603000045,2005
Poplar Cr,MF Feather,0.6570000052,2005
Nelson Cr,MF Feather,0.7990999818,2005
McCloud,McCloud,0.7166000009,2005
Moosehead,McCloud,0.8867999911,2005
OC 10 (Oregon Creek),Middle Yuba,0.7498999834,2005
Warner,NF Feather,0.5861999989,2005
Grassy Swale,NF Feather,0.6697999835,2005
Meadow Valley Cr,NF Feather,0.602699995,2005
Spanish Cr,NF Feather,0.6394000053,2005
Wolf Cr,NF Feather,0.6571999788,2005
Butt Cr,NF Feather,0.6355000138,2005
Feather R (North Fork),NF Feather,0.6535000205,2005
Below Jess Valley Bridge,Pit R (South Fork),0.350300014,2005
Butte,Sacramento,0.7462999821,2005
Willow Butte,Sacramento,0.7703999877,2005
Deer Cr,Sacramento,0.7548999786,2005
Mill Cr,Sacramento,0.7300000191,2005
Martin Cr,Sacramento,0.5661000013,2005
CEDEN Big Chico Creek ~1.6mi below Ponderosa Way,Sacramento,0.6621000171,2005
Clark Fork of Stanislaus R,Stanislaus,0.6672999859,2005
Arnot Cr,Stanislaus,0.6840999722,2005
CEDEN Arnot Cr 1,Stanislaus,0.7042999864,2005
CEDEN Coyote Creek Natural Bridges,Stanislaus,0.4975000024,2005
Jawbone Cr,Tuolumne,0.7682999969,2005
CEDEN Jawbone Creek ~0.9mi above Crane Cr.,Tuolumne,0.6978999972,2005
CEDEN Jawbone Creek ~1.8mi below Crane Cr.,Tuolumne,0.8055999875,2005
"CEDEN Tuolumne River, NF ~0.6mi below Basin Cr.",Tuolumne,0.706700027,2005
Fall,Yuba,0.709800005,2005
Haypress,Yuba,0.7641000152,2005
Pauley,Yuba,0.8259000182,2005
North Yuba,Yuba,0.6254000068,2005
Middle Yuba @Foote Xing,Yuba,0.7487000227,2005
Rock,Yuba,0.8291000128,2005
Shady,Yuba,0.5758000016,2005
CEDEN Oregon Creek,Yuba,0.7457000017,2005
Oregon Cr (actually appears to be Millers Creek),Yuba,0.7911999822,2005
Fall Cr,Yuba,0.8222000003,2005
CEDEN Oregon Creek 0.85 mi d/s Gale Cr.,Yuba,0.7457000017,2005
CEDEN Lincoln Creek,Yuba,0.6328999996,2005
CEDEN Slate Creek (USFS),Yuba,0.6208999753,2005
DC 10 (headwaters),Yuba/Deer,0.8212000132,2005
DC 20 (Willow Valley Rd),Yuba/Deer,0.7559000254,2005
DC 26 (Little Deer Creek),Yuba/Deer,0.6869000196,2005
DC 40 (WWTP),Yuba/Deer,0.7544000149,2005
DC 80 (b4 LWW),Yuba/Deer,0.6523000002,2005
DC 116 (Squirrel b4 Deer),Yuba/Deer,0.5835999846,2005
DC 110 (Deer Creek Ranch),Yuba/Deer,0.5809000134,2005
EF NF American,American,0.7860000134,2006
Fulda,American,0.6657000184,2006
S Fk Silver,American,0.4715999961,2006
Onion,American,0.7164000273,2006
Onion V,American,0.779399991,2006
Traverse,American,0.5151000023,2006
CEDEN Monumental Creek,American,0.6884999871,2006
Lyons Cr,American,0.5281000137,2006
Jones Fork Silver Cr,American,0.6504999995,2006
American R (Middle Fork),American,0.6908000112,2006
CEDEN Pilot Creek 0.7mi below Plum Cr.,American,0.6913999915,2006
CEDEN Monumental Creek ~2.1mi above EF NF of NF American R.,American,0.6884999871,2006
CEDEN Silver Fork American River at Silver Fork Rd.,American,0.5881000161,2006
CEDEN Cold Stream ~0.9mi below Rice Cyn. Cr.,American,0.5102999806,2006
BR 10 (headwaters),Bear,0.7003999949,2006
BR 22 (Steephollow),Bear,0.6308000088,2006
BR 55 (Dry Creek Spenceville),Bear,0.3136000037,2006
Above Jackrabbit Bridge,Burney Cr,0.6256999969,2006
Cat,Cosumnes,0.7454000115,2006
Cosumnes,Cosumnes,0.7822999954,2006
Consumnes R (North Fork),Cosumnes,0.6934999824,2006
CEDEN Grizzly Creek above Grizzly Forebay,Feather,0.7042999864,2006
CEDEN Spanish Creek below Greenhorn Creek,Feather,0.6552000046,2006
Below Twin Bridges CG,Hat Cr,0.6122000217,2006
Above Moose Camp,Hatchet Cr,0.6233999729,2006
Below Lassen Cr C.G.,LassenCr,0.5967000127,2006
Nelson,MF Feather,0.7814000249,2006
EF Nelson,MF Feather,0.7487000227,2006
Cascade Cr,MF Feather,0.8167999983,2006
Sulfur Cr,MF Feather,0.6255999804,2006
